date;steps;duration [s];distance [m];calories [kcal]
hourly-activity-data;v1;;;
2022-04-12 11:00:00 +0000;53;60;36.116848;1.5114901;
2022-04-12 16:00:00 +0000;12;0;8.1774;0.34222415;
2022-04-12 22:00:00 +0000;16;0;10.903199;0.4562989;
2022-04-13 09:00:00 +0000;4128;2400;2813.0254;117.725105;
2022-04-13 10:00:00 +0000;3879;2280;2643.3442;110.623955;
2022-04-13 11:00:00 +0000;63;60;42.931347;1.7966769;
2022-04-13 12:00:00 +0000;25;0;17.03625;0.71296704;
2022-04-13 13:00:00 +0000;51;0;34.75395;1.4544526;
2022-04-13 16:00:00 +0000;1404;840;956.75574;40.04023;
2022-04-13 17:00:00 +0000;1780;1020;1212.981;50.763252;
2022-04-13 18:00:00 +0000;62;60;42.249897;1.7681581;
2022-04-13 19:00:00 +0000;13;0;8.85885;0.37074283;
2022-04-14 12:00:00 +0000;35;0;23.850748;0.9981538;
2022-04-14 13:00:00 +0000;4751;2760;3237.5686;135.49223;
2022-04-14 14:00:00 +0000;5319;3120;3624.6323;151.69087;
2022-04-14 15:00:00 +0000;4391;2580;2992.2468;125.22553;
2022-04-14 16:00:00 +0000;17;0;11.584649;0.48481753;
2022-04-14 17:00:00 +0000;40;0;27.257998;1.1407472;
2022-04-14 20:00:00 +0000;8;0;5.4515996;0.22814944;
2022-04-14 22:00:00 +0000;11;0;7.4959493;0.31370547;
2022-04-14 23:00:00 +0000;22;0;14.991899;0.62741095;
2022-04-15 11:00:00 +0000;12;0;8.1774;0.34222415;
2022-04-15 12:00:00 +0000;68;60;46.338596;1.9392701;
2022-04-15 13:00:00 +0000;4207;2460;2866.8599;119.97809;
2022-04-15 14:00:00 +0000;6221;3660;4239.3003;177.4147;
2022-04-15 15:00:00 +0000;687;420;468.15613;19.592335;
2022-04-15 16:00:00 +0000;69;60;47.020046;1.9677888;
2022-04-15 18:00:00 +0000;22;0;14.991899;0.62741095;
2022-04-16 10:00:00 +0000;230;120;156.73349;6.559296;
2022-04-16 11:00:00 +0000;208;120;141.7416;5.9318852;
2022-04-16 12:00:00 +0000;36;0;24.532198;1.0266725;
2022-04-16 14:00:00 +0000;3;0;2.04435;0.08555604;
2022-04-16 15:00:00 +0000;405;240;275.98724;11.550065;
2022-04-16 16:00:00 +0000;6138;3600;4182.7397;175.04765;
2022-04-16 17:00:00 +0000;3587;2100;2444.361;102.29651;
2022-04-16 20:00:00 +0000;9;0;6.1330495;0.25666812;
2022-04-17 13:00:00 +0000;31;0;21.124949;0.88407904;
2022-04-17 14:00:00 +0000;1629;960;1110.0819;46.45693;
2022-04-17 15:00:00 +0000;3483;2040;2373.4902;99.33057;
2022-04-17 18:00:00 +0000;479;300;326.41452;13.660447;
2022-04-17 19:00:00 +0000;5505;3240;3751.382;156.99535;
2022-04-17 20:00:00 +0000;52;60;35.4354;1.4829713;
2022-04-18 09:00:00 +0000;10;0;6.8144994;0.2851868;
2022-04-18 10:00:00 +0000;56;60;38.161198;1.597046;
2022-04-18 12:00:00 +0000;16;0;10.903199;0.4562989;
2022-04-18 13:00:00 +0000;17;0;11.584649;0.48481753;
2022-04-18 17:00:00 +0000;4988;2940;3399.0723;142.25116;
2022-04-18 18:00:00 +0000;414;240;282.12027;11.806733;
2022-04-18 19:00:00 +0000;8;0;5.4515996;0.22814944;
2022-04-18 20:00:00 +0000;3160;1860;2153.3818;90.119026;
2022-04-18 21:00:00 +0000;1605;960;1093.7272;45.77248;
2022-04-18 22:00:00 +0000;75;60;51.108746;2.138901;
2022-04-19 11:00:00 +0000;8;0;5.4515996;0.22814944;
2022-04-19 12:00:00 +0000;27;0;18.399149;0.77000433;
2022-04-19 13:00:00 +0000;5;0;3.4072497;0.1425934;
2022-04-19 14:00:00 +0000;13;0;8.85885;0.37074283;
2022-04-19 15:00:00 +0000;140;60;95.40299;3.9926152;
2022-04-19 16:00:00 +0000;5310;3120;3618.4993;151.4342;
2022-04-19 17:00:00 +0000;4919;2880;3352.0522;140.28337;
2022-04-19 18:00:00 +0000;40;0;27.257998;1.1407472;
2022-04-19 19:00:00 +0000;30;0;20.443499;0.85556036;
2022-04-19 20:00:00 +0000;89;60;60.649044;2.5381625;
2022-04-19 21:00:00 +0000;21;0;14.310449;0.5988923;
2022-04-19 22:00:00 +0000;25;0;17.03625;0.71296704;
2022-04-19 23:00:00 +0000;2;0;1.3628999;0.05703736;
2022-04-20 14:00:00 +0000;1;0;0.68144995;0.02851868;
2022-04-20 15:00:00 +0000;2;0;1.3628999;0.05703736;
2022-04-20 16:00:00 +0000;2818;1620;1920.3259;80.36563;
2022-04-20 17:00:00 +0000;6082;3540;4144.5786;173.4506;
2022-04-20 18:00:00 +0000;1739;1020;1185.0415;49.593987;
2022-04-20 19:00:00 +0000;24;0;16.3548;0.6844483;
2022-04-20 20:00:00 +0000;3;0;2.04435;0.08555604;
2022-04-20 21:00:00 +0000;3;0;2.04435;0.08555604;
2022-04-20 22:00:00 +0000;21;0;14.310449;0.5988923;
2022-04-20 23:00:00 +0000;22;0;14.991899;0.62741095;
2022-04-21 09:00:00 +0000;46;0;31.346697;1.3118593;
2022-04-21 10:00:00 +0000;59;60;40.205547;1.682602;
2022-04-21 11:00:00 +0000;6;0;4.0887;0.17111208;
2022-04-21 12:00:00 +0000;11;0;7.4959493;0.31370547;
2022-04-21 13:00:00 +0000;11;0;7.4959493;0.31370547;
2022-04-21 14:00:00 +0000;88;60;59.967594;2.5096438;
2022-04-21 15:00:00 +0000;1544;900;1052.1587;44.03284;
2022-04-21 16:00:00 +0000;4963;2880;3382.0361;141.53821;
2022-04-21 17:00:00 +0000;3547;2100;2417.103;101.15576;
2022-04-21 18:00:00 +0000;50;0;34.0725;1.4259341;
2022-04-21 19:00:00 +0000;40;0;27.257998;1.1407472;
2022-04-21 20:00:00 +0000;13;0;8.85885;0.37074283;
2022-04-21 21:00:00 +0000;18;0;12.266099;0.51333624;
2022-04-21 22:00:00 +0000;17;0;11.584649;0.48481753;
2022-04-21 23:00:00 +0000;38;0;25.895098;1.0837098;
2022-04-22 10:00:00 +0000;54;60;36.798298;1.5400087;
2022-04-22 11:00:00 +0000;57;60;38.842648;1.6255647;
2022-04-22 12:00:00 +0000;27;0;18.399149;0.77000433;
2022-04-22 13:00:00 +0000;84;60;57.241795;2.395569;
2022-04-22 14:00:00 +0000;30;0;20.443499;0.85556036;
2022-04-22 15:00:00 +0000;2381;1380;1622.5323;67.90298;
2022-04-22 16:00:00 +0000;4377;2580;2982.7065;124.82627;
2022-04-22 17:00:00 +0000;112;60;76.322395;3.194092;
2022-04-22 18:00:00 +0000;3685;2160;2511.143;105.09133;
2022-04-22 19:00:00 +0000;17;0;11.584649;0.48481753;
2022-04-22 20:00:00 +0000;9;0;6.1330495;0.25666812;
2022-04-23 12:00:00 +0000;9;0;6.1330495;0.25666812;
2022-04-23 13:00:00 +0000;20;0;13.628999;0.5703736;
2022-04-23 14:00:00 +0000;1433;840;976.51776;40.867264;
2022-04-23 15:00:00 +0000;2747;1620;1871.943;78.34081;
2022-04-23 16:00:00 +0000;3203;1860;2182.684;91.34533;
2022-04-23 17:00:00 +0000;24;0;16.3548;0.6844483;
2022-04-23 19:00:00 +0000;3375;1980;2299.8936;96.25054;
2022-04-23 20:00:00 +0000;72;60;49.064396;2.053345;
2022-04-23 21:00:00 +0000;4;0;2.7257998;0.11407472;
2022-04-23 22:00:00 +0000;8;0;5.4515996;0.22814944;
2022-04-24 13:00:00 +0000;303;180;206.47934;8.641161;
2022-04-24 14:00:00 +0000;93;60;63.374844;2.6522374;
2022-04-24 16:00:00 +0000;16;0;10.903199;0.4562989;
2022-04-24 20:00:00 +0000;1849;1080;1260.001;52.731037;
2022-04-24 21:00:00 +0000;3259;1920;2220.8455;92.94238;
2022-04-24 22:00:00 +0000;4898;2880;3337.742;139.6845;
2022-04-24 23:00:00 +0000;19;0;12.947549;0.5418549;
2022-04-25 00:00:00 +0000;1;0;0.68144995;0.02851868;
2022-04-25 01:00:00 +0000;2;0;1.3628999;0.05703736;
